datetime,TU-17C:SS-HLS-Ax04NE5:Level-Mon,TU-16C:SS-HLS-Ax01NE4:Level-Mon,TU-15C:SS-HLS-Ax59NE3:Level-Mon,TU-14C:SS-HLS-Ax57NE2:Level-Mon,TU-13C:SS-HLS-Ax54NE1:Level-Mon,TU-01C:SS-HLS-Ax18SE5:Level-Mon,TU-01C:SS-HLS-Ax16SE4:Level-Mon,TU-20C:SS-HLS-Ax14SE3:Level-Mon,TU-19C:SS-HLS-Ax12SE2:Level-Mon,TU-18C:SS-HLS-Ax09SE1:Level-Mon,TU-06C:SS-HLS-Ax33SW5:Level-Mon,TU-06C:SS-HLS-Ax31SW4:Level-Mon,TU-05C:SS-HLS-Ax29SW3:Level-Mon,TU-04C:SS-HLS-Ax27SW2:Level-Mon,TU-03C:SS-HLS-Ax24SW1:Level-Mon,TU-11C:SS-HLS-Ax48NW5:Level-Mon,TU-11C:SS-HLS-Ax46NW4:Level-Mon,TU-10C:SS-HLS-Ax44NW3:Level-Mon,TU-09C:SS-HLS-Ax42NW2:Level-Mon,TU-08C:SS-HLS-Ax39NW1:Level-Mon
30.07.21 23:58,8.147544860839844,7.697229385375977,7.698636054992676,7.76949405670166,7.790913105010986,7.472993850708008,7.41264009475708,7.544978618621826,7.6133575439453125,7.694669723510742,7.729490280151367,7.5899977684021,7.573146343231201,7.681665897369385,7.700876235961914,7.693995475769043,7.71445369720459,7.72759485244751,7.738872051239014,7.791331768035889
31.07.21 00:01,8.14763355255127,7.697649637858073,7.698960781097412,7.76951519648234,7.790516297022502,7.47336991628011,7.412511984507242,7.544914484024048,7.613504807154338,7.694751898447672,7.729860782623291,7.590614636739096,7.573527812957764,7.681782801946004,7.701091130574545,7.692688941955566,7.7136549949646,7.7268296877543134,7.7388916015625,7.79131555557251
31.07.21 00:04,8.148093795776367,7.698097229003906,7.699294567108154,7.769560718536377,7.7896346092224125,7.473781943321228,7.412687206268311,7.545059776306152,7.613848114013672,7.694969558715821,7.73065767288208,7.591216278076172,7.5738012313842775,7.68230562210083,7.701362609863281,7.690843868255615,7.712138271331787,7.725976753234863,7.73882532119751,7.791488170623779
31.07.21 00:07,8.14858881632487,7.698618094126383,7.6993913650512695,7.769558111826579,7.788716713587442,7.474104563395183,7.413033564885457,7.545399109522501,7.613952477773031,7.695175806681315,7.731425921122233,7.591920693715413,7.574226061503093,7.682920614878337,7.701848109563192,7.6892813841501875,7.710679292678833,7.725523471832275,7.73847492535909,7.791513442993164
31.07.21 00:10,8.149006366729736,7.698953469594319,7.699347893397014,7.769651015599568,7.787793715794881,7.474271456400553,7.413350025812784,7.545718272527059,7.614292144775391,7.695616960525513,7.731989860534668,7.592689752578735,7.5747123559316,7.683401187260946,7.702359676361084,7.688184817632039,7.709226608276367,7.724707682927449,7.7378318309783936,7.791420857111612
31.07.21 00:13,8.149149258931478,7.69903818766276,7.699277639389038,7.769626140594482,7.786786238352457,7.474779367446899,7.413599332173666,7.5459208488464355,7.61441175142924,7.695565064748128,7.73230258623759,7.593292872111003,7.575785080591838,7.684005975723267,7.702831586201985,7.687332073847453,7.708120346069336,7.7233216762542725,7.736994425455729,7.7909440994262695
31.07.21 00:16,8.149206479390461,7.699132442474365,7.699134270350139,7.769651412963867,7.786194403966268,7.47510019938151,7.4139104684193935,7.546204010645549,7.614517529805502,7.695976893107096,7.73305877049764,7.593848784764608,7.57643404006958,7.684243202209473,7.703143199284871,7.686852375666301,7.707286993662516,7.722656011581421,7.73638900121053,7.790712038675943
31.07.21 00:19,8.149289290110271,7.699352264404297,7.698967615763346,7.769539197285971,7.785555839538574,7.475257396697998,7.414024114608765,7.546289761861166,7.6146682898203535,7.696046590805054,7.733674764633179,7.594288031260172,7.576997439066568,7.684643983840942,7.703557252883911,7.686699072519938,7.7066330909729,7.72117797533671,7.735749165217081,7.79036283493042
31.07.21 00:22,8.149318885803222,7.699338436126709,7.698841285705567,7.7696503639221195,7.7851988792419435,7.475488185882568,7.41414852142334,7.5464661598205565,7.614867782592773,7.696088981628418,7.734193325042725,7.5946296691894535,7.577493953704834,7.685029697418213,7.703749084472657,7.686574077606201,7.706308174133301,7.721653461456299,7.7351634979248045,7.789705753326416
31.07.21 00:25,8.14938497543335,7.699216747283936,7.69857136408488,7.769661029179891,7.784789482752482,7.475689093271891,7.414359410603841,7.5466148853302,7.614853064219157,7.696169853210449,7.734580119450887,7.595041831334433,7.577860593795776,7.68518582979838,7.704032977422079,7.686475118001302,7.706042607625326,7.720995664596558,7.734629233678183,7.789570728937785
